Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi_alpha	pinvar	pis[1]	pis[2]	pis[3]	pis[4]	TL
200	-18806.37	-18729.41	-76.95934	9.575518e+07	0.00675508	0.0065517	0.00440632	0.0089546	0.00308667	0.00232662	0.00392062	0.00375728	0.00171459	0.000716123	0.00525682	0.00393594	0.0101423	0.0127722	0.00400988	0.0108448	0.0058388	0.00287139	0.00348785	0.00166688	0.000837665	0.00615796	0.0120365	0.00973242	0.00553101	0.000663387	2.44477e-06	0.000746405	0.00101412	0.00493567	0.00193723	0.00142067	0.000815404	0.000367242	0.000226451	0.000521894	0.000434382	0.00301457	0.00052706	0.00108893	0.00236973	0.00018517	0.00131239	0.000942609	0.00208677	0.99987	0.999966	1.00003	1.00013	0.2084804	3.740507e-06	0.00472001	0.203889	0.796111	0.99528	0.1619246
210	-18816.87	-18740.01	-76.85163	8.872741e+07	0.00656921	0.00601309	0.00373993	0.00785003	0.00305866	0.00237372	0.0035045	0.00427149	0.00237612	0.000649055	0.00585216	0.00281175	0.00851296	0.00974705	0.00424766	0.0108489	0.00544519	0.00311484	0.00287189	0.00240631	0.00126869	0.00617287	0.00982518	0.0103364	0.0048368	0.000747985	0.000325109	0.00033225	0.000540714	0.00442126	0.00179513	0.000959847	0.00104656	0.000147071	0.000217174	0.000466073	0.000372463	0.00294269	0.00076129	0.000939495	0.00237941	0.000207484	0.00131239	0.00188915	0.00153101	0.999865	0.999965	1.00004	1.00013	0.19963	3.740507e-06	0.00396806	0.198137	0.801863	0.996032	0.152039
220	-18793.74	-18716.97	-76.76596	8.280783e+07	0.00603445	0.00608465	0.00430782	0.00833172	0.003217	0.00261612	0.00320865	0.00306526	0.00167792	0.000571803	0.00403466	0.00292957	0.00881379	0.010408	0.00410675	0.0100589	0.00452169	0.00267077	0.00280623	0.0017443	0.00127367	0.00417301	0.00935256	0.00991597	0.00511491	0.000735639	3.45734e-05	0.000510413	0.000594006	0.00518325	0.00238868	0.000951772	0.00108722	0.00036393	1.18685e-05	0.000707749	0.000171271	0.00290573	0.000665141	0.000601169	0.00197244	0.000218879	0.000718467	0.000880667	0.00173709	0.99986	0.999965	1.00004	1.00014	0.199544	3.740507e-06	0.00396109	0.19808	0.80192	0.996039	0.1434801
230	-18785.52	-18708.85	-76.66828	6.840787e+07	0.00571188	0.00547356	0.0040168	0.00833172	0.00268301	0.0016292	0.00306436	0.0029473	0.00179498	0.000505561	0.00396892	0.00335526	0.00766882	0.0106799	0.00339726	0.00856327	0.00497303	0.00251339	0.00260059	0.00171749	0.000979933	0.00392043	0.00937259	0.00785088	0.00568869	0.000738848	0.000132113	0.000372578	0.000631297	0.00440586	0.00216035	0.000609743	0.000901089	0.000290002	0.000228175	0.000319563	0.000159865	0.0027747	0.00055879	0.000618524	0.0021714	0.00047479	0.000685125	0.00126295	0.0012552	0.999846	0.999961	1.00004	1.00015	0.1950679	3.740507e-06	0.00360717	0.195087	0.804913	0.996393	0.1341598
240	-18782.03	-18705.38	-76.64783	6.952093e+07	0.00613337	0.00559883	0.00399337	0.00745437	0.00268482	0.00218607	0.00316202	0.0028627	0.00168319	0.000741251	0.00467897	0.00289215	0.00771155	0.00931821	0.00336927	0.00936632	0.00434677	0.00245677	0.00305141	0.00134396	0.000819295	0.00418114	0.00912897	0.00814375	0.00522287	0.000675426	3.79243e-05	0.000646624	0.000308465	0.00407286	0.0020773	0.000660447	0.000701769	0.000442906	0.000101926	0.000238846	0.000378852	0.00225636	0.00047737	0.000870518	0.00206287	0.000163046	0.000792538	0.000961755	0.00158124	0.999847	0.999961	1.00004	1.00015	0.1958124	3.740507e-06	0.00366481	0.195589	0.804411	0.996335	0.1320404
250	-18789.3	-18712.68	-76.61915	8.962335e+07	0.00607947	0.0054165	0.00392642	0.00746349	0.00240303	0.00221333	0.00297551	0.00321706	0.00188678	0.000796884	0.0041414	0.00242948	0.00679687	0.00867662	0.00364166	0.00755431	0.00507961	0.00238004	0.00279468	0.00147209	0.00082031	0.00478046	0.00947336	0.00850057	0.0050919	0.000638261	0.000186463	0.000200034	0.000296384	0.0033202	0.00156816	0.000876979	0.000817159	0.000147465	0.00029684	0.000402011	0.000211185	0.00286408	0.000896336	0.000722744	0.00120845	0.000219102	0.00120732	0.00111113	0.00190057	0.999866	0.999965	1.00003	1.00013	0.1965087	3.740507e-06	0.00371916	0.196057	0.803943	0.996281	0.1291027
260	-18780.76	-18704.24	-76.51858	8.31545e+07	0.00587035	0.00481931	0.00429399	0.00744382	0.00223658	0.00160855	0.00255464	0.00276358	0.00154393	0.000570918	0.00350191	0.00212898	0.00672749	0.00916643	0.0028187	0.00760492	0.00430824	0.002458	0.00286358	0.00131659	0.00103835	0.00374011	0.00735712	0.00721553	0.00471487	0.000383996	7.16786e-05	0.000512271	0.000422876	0.00346116	0.00179175	0.000955654	0.000328544	5.26534e-05	0.000345448	0.000406995	0.000154777	0.0021573	0.000588815	0.000936049	0.00158165	0.000268403	0.00143254	0.00116328	0.00169342	0.99986	0.999964	1.00004	1.00014	0.1932115	3.740507e-06	0.00346559	0.193829	0.806171	0.996534	0.1193757
270	-18769.5	-18692.94	-76.55367	9.431413e+07	0.00514038	0.00536784	0.0030959	0.00681315	0.00281732	0.0018889	0.0021711	0.00305964	0.00149561	0.000696488	0.00437501	0.00244135	0.00739972	0.00899661	0.00337186	0.00848513	0.00446602	0.00228236	0.00277253	0.00122986	0.000832594	0.0043485	0.00829724	0.00744859	0.00431961	0.000458522	5.27924e-05	0.000437777	0.000759266	0.00387349	0.00181165	0.000729291	0.000559803	7.61461e-05	0.000486931	0.000494511	7.25849e-05	0.00229142	0.00065537	0.000576115	0.00155316	0.000161529	0.00146711	0.00131266	0.00169342	0.999869	0.999967	1.00003	1.00013	0.1906836	3.740507e-06	0.00327775	0.192099	0.807901	0.996722	0.1231369
280	-18777.48	-18701.01	-76.47574	7.616395e+07	0.00524039	0.00516666	0.00285943	0.0067358	0.00208316	0.00124955	0.00266979	0.0026378	0.00140653	0.000627356	0.00379691	0.00244135	0.00631716	0.00814247	0.00260935	0.00858959	0.00441771	0.00201357	0.00208895	0.00107539	0.000894733	0.0036365	0.00752901	0.00815343	0.00393591	0.000476571	0.000109584	0.000516636	0.000985417	0.00339774	0.00177024	0.000925901	0.00053361	0.000112321	0.000275346	0.000377083	7.25849e-05	0.00192128	0.000744387	0.000671735	0.001633	0.000251359	0.00124503	0.00131266	0.00169342	0.999854	0.999962	1.00004	1.00015	0.1906836	3.740507e-06	0.00327775	0.192099	0.807901	0.996722	0.1153444
290	-18775.37	-18698.98	-76.39835	6.711808e+07	0.00413781	0.00367352	0.00345134	0.00577694	0.0022696	0.00132005	0.00212087	0.0029433	0.0010491	0.000304501	0.00345792	0.00253444	0.00688318	0.00842139	0.00238938	0.00676369	0.00360258	0.0023267	0.00204256	0.00129296	0.000908277	0.00389296	0.0079483	0.00849331	0.0038592	0.000473039	0.000325919	0.000383008	0.000271879	0.00338667	0.00163384	0.000631272	0.000444665	0.000248371	0.000289099	0.000428298	0.000100099	0.00190115	0.000481141	0.000594662	0.0017323	0.000235535	0.00122669	0.000574468	0.000912629	0.999845	0.99996	1.00004	1.00016	0.1853533	3.740507e-06	0.00290046	0.188391	0.811609	0.9971	0.1081386
