Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	pi_alpha	pis[1]	pis[2]	pis[3]	pis[4]	TL
200	-18773.44	-18813.59	40.15163	0.00750143	0.00656279	0.00501547	0.00939101	0.00398333	0.00243621	0.00406274	0.00460039	0.00237359	0.000558186	0.00524562	0.0048086	0.0103671	0.0127018	0.00374317	0.0108471	0.00607445	0.00306851	0.00411272	0.001667	0.00113719	0.00563542	0.00991897	0.00979633	0.000644682	0.00100227	0.00219363	0.00361621	0.00040766	0.000150775	0.00550925	0.000380479	0.00183861	0.000900288	0.000283305	0.000245667	0.00486928	0.00130469	0.00257265	0.000415615	0.000400001	0.000523043	0.000826328	0.000946859	0.00123533	0.2090883	0.00477412	0.204276	0.795724	0.995226	0.1658757
210	-18777.16	-18817.25	40.09406	0.00709644	0.00750209	0.00546727	0.00956309	0.0030608	0.00289424	0.00468393	0.00434739	0.00226935	0.000564445	0.00554085	0.00457078	0.00909065	0.0132495	0.00412781	0.0108402	0.00600522	0.00409858	0.00359506	0.00189905	0.00134799	0.00665318	0.0106391	0.0105878	0.000402895	0.00090203	0.00214141	0.00372429	5.44948e-05	0.000266828	0.00639366	0.00017577	0.00263435	0.000732082	0.000580576	0.000266907	0.00536542	0.00153	0.00215228	0.000523868	0.000239669	0.00012103	0.000954658	0.00123479	0.00165808	0.2079142	0.00466988	0.203527	0.796473	0.99533	0.1717499
220	-18775.99	-18816.25	40.2599	0.00597255	0.00600297	0.00428523	0.00796354	0.00274999	0.00259909	0.00438909	0.00347744	0.00175725	0.000876848	0.00530813	0.00442541	0.0087299	0.0105377	0.00302877	0.0121703	0.00588563	0.00312687	0.00305729	0.00194344	0.000917881	0.00511396	0.00939922	0.0110889	0.000364623	0.000903119	0.00281347	0.00318851	2.80922e-05	0.000303684	0.00573399	0.000241423	0.00237037	0.000733329	0.00036677	0.000749606	0.00482982	0.00134411	0.00251824	0.00063232	0.000137529	2.5058e-05	0.000785118	0.00119878	0.00149393	0.2038884	0.00432141	0.200932	0.799068	0.995679	0.1555693
230	-18769.63	-18809.97	40.33878	0.00646144	0.00541608	0.00379517	0.008288	0.00308834	0.00286389	0.00359141	0.00282297	0.00175725	0.000921958	0.00492296	0.00440448	0.00865399	0.0102366	0.00405776	0.00895064	0.00519449	0.002936	0.00342897	0.00202918	0.00103299	0.00575153	0.00939922	0.00954882	0.000328174	0.00053044	0.00243623	0.0024321	0.000180616	0.000316155	0.0052061	7.38238e-05	0.00193808	0.000674583	0.000269667	0.000821039	0.0044829	0.00143561	0.0020136	0.00067646	0.00029274	1.45938e-05	0.00114988	0.000969023	0.0018847	0.2038884	0.00432141	0.200932	0.799068	0.995679	0.1476806
240	-18767.56	-18807.83	40.26875	0.00697432	0.00661811	0.00457164	0.00807927	0.00397131	0.00241858	0.00403885	0.0031473	0.00217908	0.000719254	0.00528034	0.00441882	0.00925528	0.0105521	0.00354658	0.00984904	0.00632684	0.00262037	0.00359536	0.00200891	0.0010244	0.00565312	0.00939922	0.00936708	0.000286702	0.000932483	0.00189792	0.00351383	0.00011287	0.000114276	0.005958	0.000253895	0.00228511	0.000699166	0.000295218	0.000997733	0.00405951	0.0010399	0.00232535	0.000714087	0.00024568	0.000141113	0.00136586	0.000924775	0.00100222	0.2029165	0.00423937	0.200299	0.799701	0.995761	0.1547809
250	-18758.38	-18798.78	40.39824	0.00718631	0.00576844	0.00432546	0.00775018	0.00291321	0.00234179	0.00396359	0.00287114	0.00176971	0.000564865	0.0050452	0.00387307	0.0079791	0.00994894	0.00357228	0.00969622	0.00447529	0.00222558	0.0032592	0.0018826	0.000967436	0.00534782	0.00905918	0.00856697	7.74998e-05	0.000488152	0.00172497	0.0025955	0.000228218	4.74481e-05	0.00586381	0.000207397	0.00175917	0.000536464	0.000272658	0.000942623	0.00436135	0.00140294	0.00212525	0.000446239	0.000399784	0.000149479	0.000571348	0.00112442	0.00177659	0.1966889	0.0037333	0.196178	0.803822	0.996267	0.1424549
260	-18758.5	-18798.89	40.39004	0.00607431	0.00572952	0.00416865	0.00842479	0.00336001	0.00194384	0.00358115	0.00354309	0.00193538	0.000713519	0.00492056	0.00364135	0.00696474	0.0104755	0.00440767	0.0100859	0.00486813	0.00258735	0.00300099	0.00137167	0.00121961	0.00506146	0.00882715	0.00863537	5.73889e-05	0.000760007	0.00189091	0.00226599	0.000133162	0.000373777	0.00537603	0.000378576	0.00182618	0.000709042	0.000383618	0.000755003	0.00498209	0.00102204	0.00272076	0.000747674	0.000108937	7.05021e-05	0.000903985	0.000998368	0.0012416	0.1969629	0.00375485	0.196361	0.803639	0.996245	0.1432474
270	-18749.96	-18790.48	40.51851	0.00582852	0.00481086	0.00406047	0.00749671	0.00300691	0.00185213	0.00301456	0.00281062	0.0020143	0.000813284	0.00375186	0.00320127	0.00750031	0.00858669	0.00292519	0.00967109	0.00443668	0.00251684	0.00257864	0.00140104	0.000706384	0.00492655	0.00844451	0.00861245	8.29188e-05	0.000637256	0.00223488	0.00237447	0.000180274	0.000364849	0.00499808	0.000185566	0.0018485	0.000726319	0.000211223	0.000673462	0.00363025	0.00104833	0.00213056	0.000773045	0.000138926	6.27829e-05	0.00104492	0.000937391	0.00161296	0.1923197	0.00339867	0.193221	0.806779	0.996601	0.1308648
280	-18752.2	-18792.77	40.57506	0.0057635	0.00526443	0.00326435	0.00749671	0.00314437	0.00177914	0.00342384	0.0036103	0.00161941	0.000458016	0.00413851	0.00293981	0.00629585	0.00914597	0.00287142	0.00959954	0.00374192	0.00272942	0.00273959	0.00109523	0.00078366	0.0037966	0.0081654	0.00773551	4.21504e-05	0.00048387	0.00145284	0.00260445	0.000138292	0.000337989	0.0047509	0.000107392	0.00186901	0.000420165	0.00019497	0.000472818	0.00386232	0.00102431	0.00191634	0.00045883	0.00027184	0.000128346	0.0009848	0.000774445	0.00151769	0.1902547	0.00324644	0.191804	0.808196	0.996754	0.1254163
290	-18747.33	-18787.92	40.59238	0.00563772	0.00488544	0.00320583	0.0076191	0.00253557	0.00180335	0.00308173	0.00285245	0.00160386	0.000597987	0.00375071	0.00309335	0.00755347	0.00871196	0.00280244	0.00748105	0.004469	0.00209164	0.00245186	0.00127109	0.00108851	0.00405289	0.00715465	0.00880332	4.32113e-05	0.00060281	0.00149064	0.00248986	0.000242825	0.000113893	0.0057799	0.000143791	0.00179969	0.000421384	0.00020068	0.000748853	0.00422908	0.000786388	0.00196476	0.000655167	0.000203013	0.000126515	0.000940204	0.00084051	0.00126251	0.1902547	0.00324644	0.191804	0.808196	0.996754	0.1236847
300	-18753.78	-18794.39	40.6029	0.00577902	0.00508043	0.00346854	0.00745992	0.0023342	0.0016601	0.00312009	0.00253168	0.00149031	0.000597987	0.00385503	0.00302958	0.00839474	0.00782658	0.00291698	0.00811991	0.0041919	0.00238026	0.00285278	0.00101677	0.000642317	0.00426931	0.00787492	0.00814518	0.000122295	0.000341492	0.00147743	0.00237284	0.000193735	8.98165e-05	0.00438379	0.000155935	0.001629	0.000572174	0.00036122	0.000768792	0.00420808	0.000668883	0.00182402	0.000526625	0.000466709	0.000205899	0.000663296	0.0012161	0.00134567	0.1902547	0.00324644	0.191804	0.808196	0.996754	0.1226324
310	-18754.37	-18794.97	40.60441	0.00547971	0.00475085	0.00362095	0.0064629	0.00233288	0.00204134	0.00384042	0.00285091	0.00137542	0.000683026	0.00383268	0.00351518	0.00630384	0.00832158	0.00336268	0.00959806	0.00461551	0.00221938	0.00273996	0.00136883	0.000826131	0.00413301	0.00734682	0.00743964	9.48444e-05	0.00045731	0.00176146	0.00239044	0.000244011	0.000347337	0.00460525	0.000243929	0.0013896	0.000637679	0.000204611	0.000909317	0.00323003	0.00115889	0.00166031	0.000768379	0.000466709	0.00020487	0.00104925	0.000697799	0.000897771	0.1902547	0.00324644	0.191804	0.808196	0.996754	0.1224815
