Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	part_rate[1]	part_rate[2]	part_rate[3]	part_rate_mult[1]	part_rate_mult[2]	part_rate_mult[3]	pi_alpha[1]	pi_alpha[2]	pi_alpha[3]	pinvar[1]	pinvar[2]	pinvar[3]	TL
200	-19108.19	-18921.24	-186.947	7.30724e+07	2.19486e+07	2.74869e+07	0.144418	0.133542	0.0935071	0.190833	0.077629	0.0470752	0.0805147	0.0826809	0.0434916	0.0155471	0.101054	0.0708864	0.18004	0.222408	0.0650678	0.237538	0.105128	0.0611298	0.0676225	0.0405569	0.0272325	0.11417	0.236263	0.245149	0.114366	0.0181496	0.000433668	0.0180582	0.0438429	0.0109983	0.00256757	0.00268904	0.0204779	0.0112157	0.104121	0.0143055	0.060535	0.00874128	0.0173164	0.0075678	0.0485598	0.00543638	0.0492041	0.0369343	0.0238503	0.0402301	67.7628	79.6676	0.0397086	0.412313	0.547978	0.199223	0.0978415	0.974822	1.1226e-07	0.282252	0.569031	3.302854
210	-19095.34	-18907.44	-187.8961	8.06062e+07	1.97052e+07	3.3079e+07	0.172704	0.128065	0.0908138	0.199998	0.0631428	0.0505212	0.0899112	0.0885137	0.0427255	0.0149687	0.1134	0.0775651	0.165948	0.255472	0.0928954	0.232841	0.109647	0.0682882	0.0777717	0.03175	0.0256334	0.141496	0.239567	0.20981	0.134357	0.00876361	0.00107608	0.0259198	0.0414208	0.0230595	0.00752705	0.012381	0.0196253	0.00909035	0.118702	0.00367619	0.0511526	0.0125802	0.00669611	0.00665862	0.045954	0.00682988	0.0370798	0.035157	0.020291	0.0326943	83.8516	66.5166	0.0322705	0.510208	0.457522	0.188073	0.123674	0.756987	1.1226e-07	0.377295	0.498876	3.411447
220	-19073.17	-18884.82	-188.3506	9.07522e+07	2.02802e+07	3.64979e+07	0.150001	0.131425	0.0986256	0.170409	0.0733798	0.0385924	0.078649	0.0795523	0.0524525	0.0153983	0.10855	0.0762146	0.189082	0.261507	0.0823595	0.224395	0.11003	0.0718973	0.07471	0.0328271	0.0273634	0.119945	0.211334	0.196115	0.105463	0.0188546	0.000107275	0.0237531	0.031709	0.0108114	0.00793214	0.012381	0.00922753	0.0142696	0.0931049	0.0078082	0.049887	0.0148148	0.00748091	0.0017041	0.0437988	0.00406769	0.0352941	0.0291453	0.0354167	0.0354498	85.806	64.3922	0.0349903	0.5221	0.44291	0.188073	0.122285	0.957824	1.1226e-07	0.282515	0.312369	3.231846
230	-19035.23	-18850.16	-185.0683	9.35839e+07	2.38291e+07	3.0271e+07	0.148376	0.128853	0.091358	0.16141	0.0615615	0.044372	0.0789324	0.075776	0.0415358	0.0147608	0.0962371	0.0602746	0.179785	0.241218	0.0708438	0.217085	0.109103	0.0715648	0.0613348	0.0315977	0.0148936	0.0973743	0.220466	0.201368	0.101419	0.00768398	0.000375601	0.0173478	0.0443765	0.00922096	0.00859537	0.00630345	0.0221043	0.0130491	0.0920892	0.0116705	0.0538351	0.0149725	0.00217846	0.0101763	0.0390484	0.00346552	0.0213154	0.0269831	0.0270539	0.032189	82.4797	67.8027	0.0317717	0.501861	0.466368	0.182214	0.112909	0.714096	1.1226e-07	0.354461	0.611458	3.053345
240	-19048.12	-18864.14	-183.9799	7.51026e+07	1.98763e+07	3.20624e+07	0.133016	0.124791	0.0872357	0.173561	0.0704699	0.0467121	0.0604522	0.068721	0.042897	0.0208208	0.0972514	0.0516757	0.158338	0.227419	0.0708438	0.213567	0.114908	0.0677936	0.0568534	0.0461995	0.0231972	0.100129	0.207571	0.189709	0.11472	0.011332	0.00100466	0.0162502	0.0381838	0.0101855	0.00679854	0.0113308	0.0161951	0.0101775	0.0844957	0.00820858	0.0662557	0.0151146	0.00293514	0.0107695	0.045398	0.00766175	0.0252798	0.0343658	0.026659	0.0329512	80.5043	69.4408	0.032524	0.489841	0.477635	0.182214	0.099581	0.843741	1.1226e-07	0.545922	0.62074	3.017453
250	-19038.59	-18854.51	-184.0808	9.69161e+07	1.84968e+07	3.06429e+07	0.139361	0.105962	0.0754327	0.17142	0.0693254	0.0384883	0.0551201	0.0776241	0.043728	0.0136236	0.0901676	0.0524736	0.157727	0.195361	0.0637387	0.198113	0.106545	0.0589423	0.0600243	0.0391123	0.0168424	0.100383	0.210275	0.174496	0.103244	0.0141497	0.000506798	0.0255868	0.0359305	0.0157867	0.00567649	0.00371826	0.00932353	0.0136615	0.0816331	0.00602479	0.0652624	0.0105282	0.0103786	0.00687363	0.0448302	0.00703822	0.0316219	0.0169641	0.0416599	0.0314193	74.0099	75.4057	0.031012	0.450325	0.518663	0.18006	0.0864623	0.993183	1.1226e-07	0.324652	0.614691	2.864686
260	-19042.25	-18858.3	-183.9506	8.35639e+07	2.08885e+07	3.34627e+07	0.126238	0.119133	0.0806907	0.164704	0.0661982	0.0403885	0.0571189	0.0644828	0.0475648	0.0120423	0.0859163	0.0598163	0.142145	0.201658	0.0878245	0.201852	0.104923	0.0524183	0.0559201	0.0285287	0.0194488	0.0979146	0.20619	0.172522	0.0908385	0.0107356	0.00638807	0.0258988	0.0335592	0.0117209	0.00828229	0.0100161	0.0189355	0.01108	0.0842695	0.00406333	0.0469078	0.0125899	0.0154872	0.0142585	0.0388645	0.00616007	0.0358164	0.0225233	0.028132	0.0314879	74.1717	75.2527	0.0310798	0.451309	0.517611	0.179712	0.108022	1.19349	1.1226e-07	0.656233	0.640243	2.832166
270	-19037.5	-18854.29	-183.212	8.91236e+07	1.67265e+07	3.60454e+07	0.101229	0.117068	0.0721931	0.145583	0.051987	0.0423117	0.0544231	0.0606475	0.0320004	0.0136807	0.087345	0.0497941	0.179707	0.20153	0.0650924	0.188569	0.104269	0.0520643	0.0539373	0.0285287	0.0190745	0.0917764	0.204452	0.207265	0.0793351	0.0139696	0.00218139	0.0131122	0.0414174	0.0103437	0.0105178	0.00643012	0.010122	0.00909053	0.0864104	0.0074217	0.0563819	0.0148771	0.00335305	0.00586442	0.04973	0.0169371	0.0307669	0.0226428	0.022746	0.0304811	71.5847	77.6856	0.030086	0.435569	0.534345	0.177426	0.114974	0.905516	1.1226e-07	0.376623	0.319563	2.738178
280	-19036.16	-18854.11	-182.0577	9.84534e+07	1.74006e+07	3.822e+07	0.142114	0.112601	0.074438	0.17096	0.0593807	0.0355519	0.0598454	0.0645658	0.0456735	0.00862852	0.0901668	0.0626126	0.167859	0.202624	0.0727611	0.201134	0.0951905	0.0559005	0.0545386	0.0281877	0.0157299	0.0881432	0.204452	0.164118	0.080893	0.0136602	0.0115745	0.01531	0.0476821	0.00821371	0.00170821	0.0101887	0.00983039	0.0130326	0.0889975	0.00753977	0.0538338	0.00719017	0.0120439	0.00875462	0.0468347	0.0120897	0.0285836	0.024349	0.0246274	0.0303032	71.4925	77.7927	0.0299104	0.435007	0.535082	0.176668	0.0859738	0.854647	1.1226e-07	0.48106	0.525408	2.804115
290	-19032.58	-18850.91	-181.6748	6.85928e+07	1.54898e+07	4.05279e+07	0.108693	0.108627	0.0774984	0.148311	0.0552174	0.0363212	0.0524183	0.0625076	0.0434309	0.0164696	0.086468	0.0530053	0.167859	0.19516	0.0674035	0.200585	0.109254	0.0584713	0.0559958	0.030225	0.0179289	0.0876168	0.183471	0.197302	0.0777024	0.00894632	0.0107252	0.0150273	0.0429441	0.0079389	0.00745548	0.0112817	0.0170257	0.00633928	0.0786515	0.00435533	0.0463707	0.00813349	0.0138119	0.0115258	0.0484669	0.014377	0.0309011	0.0238494	0.0243464	0.0298802	72.7888	76.7068	0.0294929	0.442895	0.527613	0.176668	0.116191	0.647127	1.1226e-07	0.613009	0.510901	2.730416
