Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	pinvar	TL
200	-16077.71	-16047.62	-30.09137	9.095107e+07	0.00789283	0.00957367	0.00624187	0.0153982	0.0032052	0.00264552	0.00264442	0.00465417	0.00210891	0.0009065	0.00538807	0.00305367	0.0114483	0.0204147	0.00543963	0.0159321	0.007955	0.00335555	0.004654	0.00181112	0.00101401	0.00569827	0.0148371	0.0123924	0.00554019	0.0047678	0.00355455	0.00111727	0.000638918	0.000606963	0.000977817	0.00103897	0.00280666	0.0131039	0.00850549	0.0075615	0.00193923	0.00129832	0.0006451	4.69439e-05	0.00229137	0.00277311	0.00779912	0.0120533	0.00708	0.722701	0.0338037	0.000780239	0.102316	0.0346886	0.105711	0.999866	0.999966	1.00003	1.00013	0.98966	0.0074119	5.93229e-05	0.00286919	0.0003564313	0.2548118
210	-16077.09	-16046.9	-30.18867	8.999929e+07	0.00876517	0.0107368	0.00669034	0.0180788	0.0026303	0.00207159	0.00201683	0.00406446	0.00175366	0.000840141	0.00611465	0.00240953	0.0152132	0.0229178	0.00462108	0.0165196	0.00914679	0.00454841	0.0036971	0.0017652	0.00109201	0.00501145	0.0146547	0.0179034	0.00486637	0.00409386	0.00327821	0.00193607	0.0013186	0.000383616	0.00187792	0.000443528	0.00356165	0.0121986	0.00818153	0.00763217	0.00103012	0.000666359	0.000930096	0.000621064	0.000381363	0.00416311	0.00669476	0.0119979	0.00502157	0.751185	0.0125707	0.00038429	0.0660395	0.0143909	0.15543	0.999866	0.999966	1.00003	1.00013	0.988932	0.00740645	4.13268e-05	0.00362009	0.0003564313	0.2645413
220	-16065.97	-16034.14	-31.8318	8.828999e+07	0.00709655	0.00939465	0.00662849	0.013692	0.00220416	0.0025646	0.00209296	0.00498253	0.00258734	0.000634847	0.00663862	0.00125934	0.00968448	0.0231751	0.00461313	0.0172838	0.00695924	0.0033521	0.00423597	0.00224243	0.00141905	0.00553879	0.0168922	0.014216	0.00539832	0.00420772	0.00339627	0.00203235	0.0010624	0.000685662	0.0008472	0.0013528	0.00343847	0.0126009	0.00728399	0.0071366	0.00134387	0.000790495	0.000661906	0.00133881	0.00040523	0.00340212	0.00987198	0.0121699	0.00490282	0.748073	0.00399636	0.000148996	0.045831	0.00747466	0.194476	0.999865	0.999966	1.00003	1.00014	0.989486	0.0074106	3.71113e-05	0.00306603	0.000293384	0.2537182
230	-16070.07	-16040.04	-30.02751	7.839139e+07	0.00832232	0.0091202	0.00525894	0.017685	0.0028418	0.00224811	0.00355703	0.00510386	0.0020888	0.00109968	0.00542377	0.00190453	0.0109999	0.0230849	0.00381095	0.0156258	0.00688447	0.00380652	0.0039982	0.00206739	0.00130687	0.00534716	0.0167322	0.010027	0.00473628	0.00312132	0.00183037	0.00277622	0.0015519	0.0007881	0.0008472	0.000398805	0.00316261	0.0106686	0.00635928	0.00802498	0.00169456	0.000489249	0.0008113	0.00104531	0.00073804	0.00332648	0.00727259	0.00965552	0.00574506	0.788839	0.0071503	0.000450877	0.0515627	0.0165825	0.135415	0.999856	0.999964	1.00004	1.00014	0.988953	0.00726617	3.64195e-05	0.00374466	0.0003544414	0.2433891
240	-16073.51	-16043.31	-30.19675	6.310226e+07	0.00706462	0.00954143	0.00640319	0.0157931	0.00260902	0.00187412	0.0032227	0.00455137	0.00272888	0.000838307	0.00626791	0.00255199	0.0104591	0.0238268	0.00522799	0.0202076	0.00734276	0.00322128	0.00550153	0.00219526	0.00130814	0.00623356	0.0146363	0.0121426	0.00589249	0.00423263	0.00349655	0.0024248	0.00213814	0.000228803	0.00137422	0.00278646	0.00348682	0.0112325	0.00734307	0.00717699	0.00174332	0.000749311	0.000966564	0.00070399	0.00177393	0.0038354	0.00743418	0.00915369	0.00638954	0.849357	0.00536038	0.000131137	0.0269421	0.0404063	0.0778031	0.99984	0.999959	1.00004	1.00016	0.988874	0.00726559	1.40715e-05	0.00384666	0.0003544414	0.260313
250	-16062.23	-16032.2	-30.03557	6.691752e+07	0.00925637	0.00905171	0.00561789	0.0165444	0.00296522	0.00182506	0.00173966	0.00464851	0.00224535	0.000913959	0.00555075	0.00265848	0.012203	0.0203704	0.00390713	0.0191228	0.00719413	0.00464923	0.00458824	0.00237791	0.00113997	0.00545526	0.0131099	0.0119441	0.00466025	0.00412196	0.00318533	0.00190934	0.00167144	0.000634011	0.00063021	0.00152058	0.00314401	0.00985673	0.0075456	0.00809357	0.00176209	0.000664449	0.000684738	0.000502074	0.00196273	0.00275285	0.00900184	0.00830184	0.00251023	0.876955	0.00193377	7.87959e-05	0.0490767	0.0420147	0.0299414	0.999845	0.99996	1.00004	1.00016	0.989591	0.00727086	1.12102e-05	0.00312657	0.0003544414	0.2441951
260	-16069.83	-16039.77	-30.06299	7.294637e+07	0.00632034	0.00910886	0.00603824	0.0138565	0.00235507	0.00271375	0.00120429	0.00403813	0.00238576	0.000631252	0.00639028	0.00171565	0.0118498	0.0200357	0.00494595	0.0178948	0.00754885	0.00409345	0.00434581	0.00197151	0.00135836	0.00523143	0.0118997	0.0141321	0.00542885	0.00283006	0.0047041	0.00161832	0.00127368	0.000552024	0.00103374	0.0018816	0.00398579	0.010363	0.00748362	0.00709707	0.00209447	0.000673134	0.000750203	0.0020071	0.00162209	0.00363956	0.00939877	0.0124515	0.00398239	0.920604	0.00123421	4.31255e-05	0.0415283	0.0236065	0.0129836	0.999851	0.999962	1.00004	1.00015	0.98752	0.00725565	1.56295e-05	0.00520841	0.0003544414	0.2469366
270	-16051.85	-16017.68	-34.16632	6.820033e+07	0.00717646	0.00822822	0.00587203	0.0170454	0.00214941	0.00237072	0.00104754	0.00497788	0.00145876	0.000925543	0.00494033	0.00191524	0.00809037	0.021077	0.0042914	0.014536	0.00733814	0.00387994	0.00385688	0.0017084	0.000991632	0.00547198	0.0143554	0.0121328	0.00465079	0.00276443	0.00398189	0.00152542	0.00190844	0.000563199	0.000866664	0.000491254	0.00327792	0.0104083	0.00635205	0.00647375	0.00161329	0.00108127	0.000666764	0.00130317	0.000839345	0.00292922	0.00583521	0.0131277	0.00517935	0.869664	0.00801899	0.000156414	0.0598646	0.0488177	0.0134784	0.999846	0.99996	1.00004	1.00015	0.98985	0.00671237	1.30629e-05	0.00342422	0.0002208598	0.2316768
280	-16052.31	-16018.09	-34.22186	6.581495e+07	0.00489942	0.00877246	0.00543564	0.0159055	0.00323713	0.00160076	0.00145292	0.0033438	0.00168243	0.0010318	0.0052948	0.00239338	0.00863627	0.0277755	0.00459432	0.015762	0.00668477	0.00392738	0.00442757	0.00165894	0.0012078	0.00488969	0.014788	0.0136629	0.00479204	0.00353406	0.00381135	0.00158211	0.000935707	0.000351475	0.000769848	0.000517234	0.00328475	0.0113131	0.00665965	0.00753264	0.00126195	0.000289703	0.000633793	0.000482512	0.00122647	0.00340657	0.00371831	0.0119521	0.00610963	0.931578	0.0171243	0.000543237	0.00935541	0.0291684	0.0122312	0.999843	0.99996	1.00004	1.00016	0.991971	0.00638214	1.24684e-05	0.00163402	0.0002208598	0.2372302
290	-16052.63	-16018.6	-34.03201	9.129189e+07	0.00536494	0.0093827	0.00531677	0.0139212	0.00337263	0.00194587	0.00119023	0.00364737	0.00168243	0.000725761	0.00358298	0.00151312	0.00735822	0.0202373	0.00355064	0.0152179	0.00686984	0.00325536	0.00395325	0.00140775	0.000644783	0.00653924	0.0126719	0.012191	0.00471215	0.0040466	0.00317285	0.00141938	0.000800058	0.000385144	0.00065812	0.000641371	0.00290734	0.0105026	0.00617055	0.00771731	0.00171214	0.000277794	0.000564745	0.000390854	0.000803322	0.00304464	0.00617088	0.00978227	0.00682269	0.543047	0.1316	0.000799498	0.0199176	0.150353	0.154283	0.999867	0.999966	1.00003	1.00013	0.993205	0.00639008	1.16089e-05	0.000393319	0.0002208598	0.218246
