Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	TL
260	-19584.22	-19622.08	37.85502	0.020566	0.0172	0.0147866	0.0225887	0.0102606	0.00943807	0.0119657	0.0126722	0.00678826	0.00267211	0.0149896	0.0159134	0.0185491	0.0206484	0.0114783	0.0228813	0.0161869	0.0112153	0.00830781	0.00489518	0.00444451	0.0153048	0.0186385	0.0233176	0.0013653	0.00257212	0.00287158	0.00785944	0.0124144	0.00220339	0.00324851	0.00412347	0.00302355	0.00740162	0.00747132	0.00287175	0.000903473	0.0125795	0.0011536	0.000589768	0.00174342	0.00088135	0.000190226	0.00353787	0.00173134	0.4164459
270	-19578.34	-19616.37	38.03002	0.0196942	0.0175196	0.0161062	0.0189967	0.00963895	0.00895264	0.0104093	0.0133029	0.00650484	0.00287368	0.0144231	0.0169587	0.0206469	0.0207226	0.0102074	0.0246752	0.0158435	0.0088154	0.00958727	0.00511786	0.00358752	0.0143988	0.0224926	0.0176577	0.00109465	0.00241625	0.00301716	0.00791627	0.00999495	0.00128091	0.00294677	0.00416019	0.00138719	0.00628866	0.00615748	0.00220084	0.000778447	0.0104057	0.00116146	0.000553676	0.00165722	0.000696102	0.000446237	0.00356109	0.00169127	0.3989458
280	-19576.35	-19614.24	37.88837	0.021445	0.0154201	0.0165097	0.0218614	0.00980229	0.00895264	0.00948542	0.0138631	0.007158	0.00266896	0.0131493	0.0156963	0.0207164	0.0226837	0.0116693	0.0235822	0.0184316	0.00898799	0.00969102	0.00545913	0.00311179	0.0149298	0.0198536	0.0216315	0.00171748	0.00192675	0.00206931	0.00764976	0.0101992	0.00196728	0.00442012	0.00484349	0.00174385	0.00669086	0.00761177	0.00220084	0.000538943	0.0123075	0.00121443	0.000992559	0.00218304	0.00150821	6.87137e-05	0.00264319	0.00185307	0.4131107
290	-19580.24	-19618.04	37.80477	0.018823	0.0205427	0.0165849	0.0214938	0.00981358	0.00870084	0.0114502	0.0142558	0.00695513	0.00303436	0.0124283	0.0173968	0.0197417	0.0219005	0.010869	0.0234634	0.018131	0.0100226	0.0115199	0.00545913	0.00372836	0.0154281	0.0223169	0.020418	0.000577057	0.00190369	0.00309936	0.00891887	0.0118345	0.00171225	0.00344516	0.00473044	0.00178074	0.00696768	0.00859018	0.00286412	0.000870022	0.0102399	0.00121443	0.000561161	0.00109242	0.000786672	0.0010805	0.0031205	0.00160278	0.4214704
300	-19577.86	-19615.84	37.97781	0.0188666	0.0174368	0.0151562	0.0212609	0.00954229	0.0102727	0.011832	0.01482	0.00702275	0.00229423	0.0139839	0.0164044	0.0169657	0.0201667	0.00833346	0.0214783	0.0146619	0.0100226	0.0100501	0.00562677	0.00307283	0.0164169	0.0224489	0.0224279	0.000677128	0.00222024	0.002879	0.00697719	0.0111761	0.00172802	0.0058775	0.00351767	0.00182873	0.00479367	0.00790053	0.00207605	0.000479302	0.0106154	0.00119271	0.000643649	0.00218468	0.0017513	0.000275741	0.00280798	0.00199888	0.4041664
310	-19576.83	-19614.8	37.97031	0.0181187	0.0173751	0.0164031	0.020998	0.0111103	0.00986538	0.0107554	0.0126779	0.00702275	0.00265776	0.0130635	0.0168388	0.019332	0.0196394	0.0118215	0.0229263	0.0154747	0.0102988	0.00856031	0.00470952	0.00313821	0.0143582	0.018718	0.0210411	0.000705516	0.00306096	0.00203724	0.00893926	0.010474	0.00222101	0.00459319	0.00485581	0.00244977	0.00665149	0.00709594	0.00164726	0.0010871	0.0111805	0.000996811	0.000826125	0.00244789	0.00143884	0.000225832	0.00332301	0.00175432	0.4049166
320	-19581.51	-19619.5	37.99719	0.0178294	0.0167445	0.0137427	0.0218098	0.00868195	0.00773154	0.012475	0.0144642	0.00750663	0.00299609	0.0141286	0.0137946	0.0188139	0.0201816	0.00878632	0.0262837	0.0174721	0.00922937	0.00914422	0.00493989	0.00355191	0.0133641	0.019337	0.0222174	0.000988292	0.00270855	0.00391911	0.00750903	0.010362	0.00125324	0.00425954	0.00513463	0.00119726	0.00759722	0.00639998	0.00180949	0.00107244	0.0117742	0.00144781	0.000394116	0.00227498	0.00128157	0.000661325	0.0028518	0.00210559	0.4022289
330	-19579.47	-19617.67	38.19522	0.0187652	0.0161596	0.0138095	0.0229775	0.00909626	0.00853341	0.0107059	0.0133073	0.00696776	0.00236036	0.0108147	0.0151051	0.0211411	0.020132	0.00957622	0.0225853	0.0151773	0.00978325	0.00880045	0.0057056	0.00331491	0.0137299	0.0176379	0.0187307	0.00100557	0.00139034	0.00300572	0.00626982	0.00955268	0.00186516	0.00359065	0.00453443	0.000793011	0.00560184	0.00604978	0.00194397	0.000654582	0.00913273	0.00144781	0.00129943	0.00205997	0.00153312	0.000457366	0.00319103	0.00213016	0.3824262
340	-19580.93	-19619.14	38.21707	0.0179093	0.0158025	0.0133792	0.0215142	0.00934784	0.00859253	0.0103933	0.0148134	0.00612946	0.00246501	0.0120207	0.0123401	0.0159345	0.020132	0.0112645	0.0225639	0.0173879	0.00863973	0.0076381	0.00447314	0.00431452	0.0159926	0.0193767	0.0190963	0.000719843	0.00154377	0.00251603	0.00715639	0.00897356	0.00186516	0.00387321	0.00491388	0.0010927	0.00508164	0.00711764	0.00229724	0.00104026	0.00968571	0.000756326	0.000703151	0.00263688	0.000759427	0.000466405	0.00360182	0.00191885	0.3802412
350	-19587.99	-19625.88	37.88345	0.020245	0.0155509	0.0148665	0.0237643	0.0124142	0.010426	0.0098421	0.0167616	0.00849122	0.00345282	0.011581	0.0152965	0.0180393	0.0251501	0.00889916	0.0253477	0.0152477	0.0077862	0.00886545	0.00565204	0.00424108	0.0133836	0.0218757	0.0198658	0.000752521	0.0026267	0.00284674	0.00549838	0.0116381	0.00230229	0.00542038	0.0049034	0.00185244	0.00565251	0.00677986	0.00229724	0.000358918	0.0122216	0.000593854	0.000882094	0.00229635	0.00154373	0.000491917	0.00301287	0.00258511	0.4136029
